,date,link,home,away,away_ML,home_ML,away_open,home_open
5013,20190320,/betting-odds/nba-basketball/3568983/odds/,Oklahoma City,Toronto,+225,-265,+3,-3
5014,20190320,/betting-odds/nba-basketball/3568985/odds/,Portland,Dallas,+120,-140,+9,-9
5015,20190321,/betting-odds/nba-basketball/3568989/odds/,Charlotte,Minnesota,+145,-165,+4,-4
5016,20190321,/betting-odds/nba-basketball/3568987/odds/,Washington,Denver,-150,+130,-5,+5
5017,20190321,/betting-odds/nba-basketball/3568992/odds/,Atlanta,Utah,-450,+360,-7,+7
5018,20190321,/betting-odds/nba-basketball/3568994/odds/,Sacramento,Dallas,+245,-290,+7½,-7½
5019,20190321,/betting-odds/nba-basketball/3568996/odds/,Phoenix,Detroit,-300,+250,-5½,+5½
5020,20190321,/betting-odds/nba-basketball/3568998/odds/,Golden State,Indiana,+175,-210,+11,-11
5021,20190322,/betting-odds/nba-basketball/3569000/odds/,Orlando,Memphis,+400,-500,+6½,-6½
5022,20190322,/betting-odds/nba-basketball/3569002/odds/,New York,Denver,-165,+145,-11,+11
5023,20190322,/betting-odds/nba-basketball/3569004/odds/,Cleveland,L.A. Clippers,-250,+210,-7,+7
5024,20190322,/betting-odds/nba-basketball/3569006/odds/,Toronto,Oklahoma City,-160,+140,+2½,-2½
5025,20190322,/betting-odds/nba-basketball/3569009/odds/,Houston,San Antonio,-140,+120,+6,-6
5026,20190322,/betting-odds/nba-basketball/3569010/odds/,Milwaukee,Miami,+105,-125,+9½,-9½
5027,20190322,/betting-odds/nba-basketball/3569012/odds/,L.A. Lakers,Brooklyn,-140,+120,+1,-1
5028,20190323,/betting-odds/nba-basketball/3569014/odds/,Charlotte,Boston,-160,+140,-3½,+3½
5029,20190323,/betting-odds/nba-basketball/3569016/odds/,Washington,Miami,-110,-110,+1,-1
5030,20190323,/betting-odds/nba-basketball/3569018/odds/,Atlanta,Philadelphia,-390,+320,-8,+8
5031,20190323,/betting-odds/nba-basketball/3569020/odds/,Memphis,Minnesota,-110,-110,+2,-2
5032,20190323,/betting-odds/nba-basketball/3569022/odds/,Chicago,Utah,+120,-140,-10½,+10½
5033,20190323,/betting-odds/nba-basketball/3569025/odds/,Golden State,Dallas,+885,-1350,+16,-16
5034,20190323,/betting-odds/nba-basketball/3569026/odds/,Portland,Detroit,+135,-155,+5,-5
5035,20190323,/betting-odds/nba-basketball/3569028/odds/,Sacramento,Phoenix,+415,-525,+9½,-9½
5036,20190324,/betting-odds/nba-basketball/3569030/odds/,New York,L.A. Clippers,-290,+245,-10,+10
5037,20190324,/betting-odds/nba-basketball/3569032/odds/,Milwaukee,Cleveland,+200,-240,+13½,-13½
5038,20190324,/betting-odds/nba-basketball/3569035/odds/,Indiana,Denver,-300,+250,-1,+1
5039,20190324,/betting-odds/nba-basketball/3569037/odds/,Toronto,Charlotte,+400,-500,+10,-10
5040,20190324,/betting-odds/nba-basketball/3569039/odds/,New Orleans,Houston,-160,+140,-9½,+9½
