,Start,Away,A-Pts-F,Home,H-Pts-F,Box,OT?,Attend.,Link
4961,7:30p,Indiana Pacers,107,Philadelphia 76ers,93,Box Score,,"19,383",/boxscores/200404120PHI.html
4962,8:00p,Utah Jazz,90,Minnesota Timberwolves,104,Box Score,,"18,881",/boxscores/200404120MIN.html
4963,8:00p,New York Knicks,101,New Orleans Hornets,97,Box Score,,"17,619",/boxscores/200404120NOH.html
4964,8:30p,Orlando Magic,93,Chicago Bulls,84,Box Score,,"19,778",/boxscores/200404120CHI.html
4965,9:00p,Sacramento Kings,89,Denver Nuggets,97,Box Score,,"19,746",/boxscores/200404120DEN.html
4966,10:00p,San Antonio Spurs,78,Portland Trail Blazers,66,Box Score,,"18,997",/boxscores/200404120POR.html
4967,10:00p,Houston Rockets,111,Seattle SuperSonics,107,Box Score,,"17,072",/boxscores/200404120SEA.html
4968,7:30p,Detroit Pistons,78,Toronto Raptors,87,Box Score,,"18,273",/boxscores/200404130TOR.html
4969,8:30p,Memphis Grizzlies,103,Dallas Mavericks,110,Box Score,,"20,364",/boxscores/200404130DAL.html
4970,10:00p,Los Angeles Clippers,98,Phoenix Suns,96,Box Score,,"17,108",/boxscores/200404130PHO.html
4971,10:30p,Golden State Warriors,104,Los Angeles Lakers,109,Box Score,,"18,997",/boxscores/200404130LAL.html
4972,7:00p,Atlanta Hawks,132,Boston Celtics,137,Box Score,,"16,149",/boxscores/200404140BOS.html
4973,7:00p,Philadelphia 76ers,89,Orlando Magic,95,Box Score,,"14,767",/boxscores/200404140ORL.html
4974,7:00p,New Orleans Hornets,94,Washington Wizards,78,Box Score,,"17,113",/boxscores/200404140WAS.html
4975,7:30p,New Jersey Nets,84,Miami Heat,96,Box Score,,"16,500",/boxscores/200404140MIA.html
4976,7:30p,Cleveland Cavaliers,100,New York Knicks,90,Box Score,,"19,763",/boxscores/200404140NYK.html
4977,8:00p,Chicago Bulls,96,Indiana Pacers,101,Box Score,,"16,074",/boxscores/200404140IND.html
4978,8:00p,Minnesota Timberwolves,107,Memphis Grizzlies,90,Box Score,,"19,351",/boxscores/200404140MEM.html
4979,8:00p,Toronto Raptors,89,Milwaukee Bucks,87,Box Score,,"16,065",/boxscores/200404140MIL.html
4980,8:30p,Denver Nuggets,67,San Antonio Spurs,93,Box Score,,"18,797",/boxscores/200404140SAS.html
4981,9:00p,Phoenix Suns,89,Utah Jazz,84,Box Score,,"19,911",/boxscores/200404140UTA.html
4982,9:30p,Dallas Mavericks,92,Houston Rockets,89,Box Score,,"18,169",/boxscores/200404140HOU.html
4983,10:00p,Los Angeles Lakers,105,Portland Trail Blazers,104,Box Score,2OT,"20,609",/boxscores/200404140POR.html
4984,10:30p,Sacramento Kings,91,Golden State Warriors,97,Box Score,,"19,831",/boxscores/200404140GSW.html
4985,10:30p,Seattle SuperSonics,118,Los Angeles Clippers,87,Box Score,,"19,362",/boxscores/200404140LAC.html
4986,2:00p,Boston Celtics,88,Indiana Pacers,104,Box Score,,"16,605",/boxscores/200404170IND.html
4987,4:30p,New York Knicks,83,New Jersey Nets,107,Box Score,,"18,206",/boxscores/200404170NJN.html
4988,8:00p,Memphis Grizzlies,74,San Antonio Spurs,98,Box Score,,"18,797",/boxscores/200404170SAS.html
4989,10:30p,Houston Rockets,71,Los Angeles Lakers,72,Box Score,,"18,997",/boxscores/200404170LAL.html
4990,1:00p,Milwaukee Bucks,82,Detroit Pistons,108,Box Score,,"22,076",/boxscores/200404180DET.html
4991,3:30p,Dallas Mavericks,105,Sacramento Kings,116,Box Score,,"17,317",/boxscores/200404180SAC.html
4992,7:00p,New Orleans Hornets,79,Miami Heat,81,Box Score,,"20,102",/boxscores/200404180MIA.html
4993,9:30p,Denver Nuggets,92,Minnesota Timberwolves,106,Box Score,,"18,503",/boxscores/200404180MIN.html
4994,8:00p,Memphis Grizzlies,70,San Antonio Spurs,87,Box Score,,"18,797",/boxscores/200404190SAS.html
4995,10:30p,Houston Rockets,84,Los Angeles Lakers,98,Box Score,,"18,997",/boxscores/200404190LAL.html
4996,8:00p,New York Knicks,81,New Jersey Nets,99,Box Score,,"19,918",/boxscores/200404200NJN.html
4997,8:30p,Boston Celtics,90,Indiana Pacers,103,Box Score,,"17,347",/boxscores/200404200IND.html
4998,10:30p,Dallas Mavericks,79,Sacramento Kings,83,Box Score,,"17,317",/boxscores/200404200SAC.html
4999,7:00p,Milwaukee Bucks,92,Detroit Pistons,88,Box Score,,"22,076",/boxscores/200404210DET.html
5000,8:00p,New Orleans Hornets,63,Miami Heat,93,Box Score,,"20,189",/boxscores/200404210MIA.html
5001,9:30p,Denver Nuggets,81,Minnesota Timberwolves,95,Box Score,,"18,101",/boxscores/200404210MIN.html
5002,7:00p,New Jersey Nets,81,New York Knicks,78,Box Score,,"19,763",/boxscores/200404220NYK.html
5003,9:30p,San Antonio Spurs,95,Memphis Grizzlies,93,Box Score,,"19,351",/boxscores/200404220MEM.html
5004,7:00p,Indiana Pacers,108,Boston Celtics,85,Box Score,,"17,680",/boxscores/200404230BOS.html
5005,9:30p,Los Angeles Lakers,91,Houston Rockets,102,Box Score,,"18,226",/boxscores/200404230HOU.html
5006,1:00p,Miami Heat,71,New Orleans Hornets,77,Box Score,,"14,251",/boxscores/200404240NOH.html
5007,3:30p,Detroit Pistons,95,Milwaukee Bucks,85,Box Score,,"18,717",/boxscores/200404240MIL.html
5008,7:00p,Sacramento Kings,79,Dallas Mavericks,104,Box Score,,"20,580",/boxscores/200404240DAL.html
